,movie_ids
1528,0110763
1529,0106912
1530,0026071
1531,0106471
1532,0074605
1533,0445934
1534,1978524
1535,0377107
1536,0324133
1537,0133046
1538,0351283
1539,0280760
1540,0345551
1541,0058997
1542,2994190
1543,0039286
1544,0062512
1545,0049189
1546,0401729
1547,0468492
1548,0292542
1549,2170299
1550,0049096
1551,0302640
1552,0026778
1553,0970411
1554,0110006
1555,0087843
1556,1853728
1557,1226271
1558,0093978
1559,0128996
1560,0279064
1561,0097328
1562,0084649
1563,1482459
1564,0076054
1565,1401143
1566,5595168
1567,1764726
1568,0095348
1569,1682186
1570,1265998
1571,1934231
1572,0109456
1573,0108551
1574,0465316
1575,2027140
1576,1924429
1577,0103671
1578,0120693
1579,0338526
1580,0084156
1581,0109287
1582,3532216
1583,1865505
1584,0480669
1585,0082477
1586,1316536
1587,0119214
1588,0090555
1589,0482546
1590,0105665
1591,0765443
1592,0091042
1593,0218817
1594,0056905
1595,0117608
1596,0423294
1597,0335119
1598,0343135
1599,0063611
1600,1564585
1601,0241760
1602,0768212
1603,0126916
1604,0090927
1605,0395125
1606,0108317
1607,0091055
1608,1568921
1609,0101726
1610,0475783
1611,2096672
1612,0338427
1613,0118113
1614,0049233
1615,0097659
1616,0101786
1617,0151738
1618,0420223
1619,0230591
1620,0273923
1621,0983213
1622,0059885
1623,1188729
1624,0082153
1625,3327624
1626,0368891
1627,0089114
1628,0100502
1629,0050658
1630,0116040
1631,0035753
1632,0478970
1633,0206334
1634,0082288
1635,0093690
1636,0081874
1637,1305591
1638,0104454
1639,4073790
1640,1436562
1641,4853102
1642,0384369
1643,0112922
1644,0276919
1645,0328955
1646,0104070
1647,1343097
1648,0142249
1649,0250323
1650,0060420
1651,0352343
1652,0069897
1653,1600195
1654,0048280
1655,0108122
1656,1551630
1657,0109035
1658,0071650
1659,0416449
1660,0119942
1661,3760922
1662,0110478
1663,0318649
1664,1314655
1665,0094721
1666,0127357
1667,0140397
1668,0118158
1669,3138104
1670,0078790
1671,0118308
1672,0141109
1673,0219233
1674,0063803
1675,0111112
1676,1286537
1677,0090350
1678,0499554
1679,0159272
1680,2947832
1681,0200809
1682,0076929
1683,0093936
1684,0053226
1685,0118880
1686,0082406
1687,0200071
1688,1798188
1689,0061810
1690,1465522
1691,0399146
1692,1318414
1693,0245562
1694,2274356
1695,1019452
1696,0322659
1697,1190617
1698,0072913
1699,2614684
1700,0120655
1701,0093412
1702,0093146
1703,0119571
1704,0037077
1705,1879032
1706,0113492
1707,0095253
1708,0102685
1709,1055292
1710,0910812
1711,0450232
1712,6023444
1713,3149640
1714,0050738
1715,0090305
1716,3416742
1717,0119683
1718,0318202
1719,0087578
